ID,C_x1ANx94e2aff24d44ad8,C_x1ANxD265003d7331d86,C_x2ANxE8d62589cd45dce,C_CreationDate,C_CrIdentity,C_Id,C_LifeCycleStd,C_OrderedDate,C_Uuid,U_PlcTotalNetValueCurrency,K_PlcTotalNetValue,NodeId,Count
.9~0000000000011ED084E3F42C167FE8BB,,,/Date(1678875701000)/,/Date(1293580800000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000003,9,/Date(1293580800000)/,00000000-0001-1ED0-84E3-F42C167FE8BB,,0.000000,0000000000011ED084E3F42C167FE8BB,1
.9~0000000000011ED08590BC71D7130CCF,,,/Date(1293805635000)/,/Date(1293753600000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000004,10,/Date(1293753600000)/,00000000-0001-1ED0-8590-BC71D7130CCF,,0.000000,0000000000011ED08590BC71D7130CCF,1
.9~0000000000011ED08590CFF715A04D08,,,/Date(1293807430000)/,/Date(1293753600000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000005,10,/Date(1293753600000)/,00000000-0001-1ED0-8590-CFF715A04D08,,0.000000,0000000000011ED08590CFF715A04D08,1
.9~0000000000011ED08590D809923A0D0A,,,/Date(1293807749000)/,/Date(1293753600000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000006,10,/Date(1293753600000)/,00000000-0001-1ED0-8590-D809923A0D0A,,0.000000,0000000000011ED08590D809923A0D0A,1
.9~0000000000011ED0859681A0D25C7DDE,,,/Date(1293784169000)/,/Date(1293753600000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000007,10,/Date(1293753600000)/,00000000-0001-1ED0-8596-81A0D25C7DDE,,0.000000,0000000000011ED0859681A0D25C7DDE,1
.9~0000000000011ED08596C9DC13095E97,,,/Date(1293784549000)/,/Date(1293753600000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000008,10,/Date(1293753600000)/,00000000-0001-1ED0-8596-C9DC13095E97,,0.000000,0000000000011ED08596C9DC13095E97,1
.9~0000000000011ED085972E866D3BDFC7,,,/Date(1293785071000)/,/Date(1293753600000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000009,10,/Date(1293753600000)/,00000000-0001-1ED0-8597-2E866D3BDFC7,,0.000000,0000000000011ED085972E866D3BDFC7,1
.9~0000000000011ED088BFDF24E67E2606,,,/Date(1295244265000)/,/Date(1295222400000)/,00000000-0001-1DDF-BAE0-D57ABA6E49A5,00000000000000000000000000000000011,10,/Date(1295222400000)/,00000000-0001-1ED0-88BF-DF24E67E2606,,0.000000,0000000000011ED088BFDF24E67E2606,1
.9~0000000000011ED088C00ECC2998C69B,,,/Date(1295244841000)/,/Date(1295222400000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000012,10,/Date(1295222400000)/,00000000-0001-1ED0-88C0-0ECC2998C69B,,0.000000,0000000000011ED088C00ECC2998C69B,1
.9~0000000000011ED088C33B3222A89173,,,/Date(1295256005000)/,/Date(1295222400000)/,00000000-0001-1DDF-BAE0-D56013B249A5,00000000000000000000000000000000013,10,/Date(1295222400000)/,00000000-0001-1ED0-88C3-3B3222A89173,,0.000000,0000000000011ED088C33B3222A89173,1
